>>> -------   -------
>>> Capsule Passed: dict_keys([])
>>> -------   -------
0121 > 1 Stanley2Cross  | offset -12.064  | angle -2.045  | speed_z -0.147  | Cross position []  | time:  0.054
0122 > 1 Stanley2Cross  | offset -12.454  | angle -2.318  | speed_z -0.138  | Cross position []  | time:  0.057
0123 > 1 Stanley2Cross  | offset -12.914  | angle -2.726  | speed_z -0.123  | Cross position []  | time:  0.048
0124 > 1 Stanley2Cross  | offset -11.365  | angle -2.386  | speed_z -0.113  | Cross position []  | time:  0.041
0125 > 1 Stanley2Cross  | offset -9.066  | angle -2.045  | speed_z -0.086  | Cross position []  | time:  0.038
0126 > 1 Stanley2Cross  | offset -9.066  | angle -2.045  | speed_z -0.086  | Cross position []  | time:  0.073
0127 > 1 Stanley2Cross  | offset -8.745  | angle -1.909  | speed_z -0.087  | Cross position []  | time:  0.041
0128 > 1 Stanley2Cross  | offset -8.745  | angle -1.909  | speed_z -0.087  | Cross position []  | time:  0.039
0129 > 1 Stanley2Cross  | offset -5.552  | angle -1.296  | speed_z -0.053  | Cross position []  | time:  0.043
0130 > 1 Stanley2Cross  | offset -6.194  | angle -1.568  | speed_z -0.052  | Cross position []  | time:  0.039
0131 > 1 Stanley2Cross  | offset -3.660  | angle -1.023  | speed_z -0.026  | Cross position []  | time:  0.035
0132 > 1 Stanley2Cross  | offset -3.178  | angle -0.818  | speed_z -0.027  | Cross position []  | time:  0.041
0133 > 1 Stanley2Cross  | offset -5.071  | angle -1.091  | speed_z -0.055  | Cross position []  | time:  0.036
0134 > 1 Stanley2Cross  | offset -5.660  | angle -1.023  | speed_z -0.072  | Cross position []  | time:  0.064
0135 > 1 Stanley2Cross  | offset -3.125  | angle -0.477  | speed_z -0.046  | Cross position []  | time:  0.061
0136 > 1 Stanley2Cross  | offset -3.125  | angle -0.477  | speed_z -0.046  | Cross position []  | time:  0.055
0137 > 1 Stanley2Cross  | offset -4.071  | angle -1.091  | speed_z -0.031  | Cross position []  | time:  0.079
0138 > 1 Stanley2Cross  | offset -1.875  | angle -0.477  | speed_z -0.016  | Cross position []  | time:  0.055
0139 > 1 Stanley2Cross  | offset -1.000  | angle 0.000  | speed_z -0.024  | Cross position []  | time:  0.064
0140 > 1 Stanley2Cross  | offset -5.071  | angle -1.091  | speed_z -0.055  | Cross position []  | time:  0.065
0141 > 1 Stanley2Cross  | offset -4.910  | angle -1.023  | speed_z -0.055  | Cross position []  | time:  0.059
0142 > 1 Stanley2Cross  | offset -1.000  | angle 0.000  | speed_z -0.024  | Cross position []  | time:  0.051
0143 > 1 Stanley2Cross  | offset -3.125  | angle -0.477  | speed_z -0.046  | Cross position []  | time:  0.037
0144 > 1 Stanley2Cross  | offset -3.000  | angle 0.000  | speed_z -0.072  | Cross position []  | time:  0.046
0145 > 1 Stanley2Cross  | offset -3.000  | angle 0.000  | speed_z -0.072  | Cross position []  | time:  0.027
0146 > 1 Stanley2Cross  | offset -5.196  | angle -0.614  | speed_z -0.086  | Cross position []  | time:  0.047
0147 > 1 Stanley2Cross  | offset -3.000  | angle 0.000  | speed_z -0.072  | Cross position []  | time:  0.051
0148 > 1 Stanley2Cross  | offset -2.804  | angle -0.341  | speed_z -0.047  | Cross position []  | time:  0.049
0149 > 1 Stanley2Cross  | offset -1.000  | angle 0.000  | speed_z -0.024  | Cross position []  | time:  0.069
0150 > 1 Stanley2Cross  | offset -5.071  | angle -1.091  | speed_z -0.055  | Cross position []  | time:  0.045
0151 > 1 Stanley2Cross  | offset -5.071  | angle -1.091  | speed_z -0.055  | Cross position []  | time:  0.047
0152 > 1 Stanley2Cross  | offset -3.678  | angle -0.818  | speed_z -0.039  | Cross position []  | time:  0.066
0153 > 1 Stanley2Cross  | offset -4.660  | angle -1.023  | speed_z -0.049  | Cross position []  | time:  0.068
0154 > 1 Stanley2Cross  | offset -3.678  | angle -0.818  | speed_z -0.039  | Cross position []  | time:  0.060
0155 > 1 Stanley2Cross  | offset -1.000  | angle -0.000  | speed_z -0.024  | Cross position []  | time:  0.051
0156 > 1 Stanley2Cross  | offset -2.000  | angle 0.000  | speed_z -0.048  | Cross position [135, 125]  | time:  0.052
0157 > 1 Stanley2Cross  | offset 4.348  | angle 1.718  | speed_z 0.000  | Cross position [145, 135, 125]  | time:  0.078
0158 > 1 Stanley2Cross  | offset 1.923  | angle 1.309  | speed_z -0.032  | Cross position [135, 125]  | time:  0.059
>>> -------   -------
>>> Capsule Passed: dict_keys(['dist_from_cross'])
>>> -------   -------
0159 > 2 Turn2Road  | phase 0.000  | capsule keys dict_keys(['dist_from_cross'])  | radius 265.715  | rot_z 0.900  | SPEED_X 0.199  | time:  0.075
0160 > 2 Turn2Road  | phase 1.000  | time:  0.044
0161 > 2 Turn2Road  | phase 1.000  | time:  0.037
0162 > 2 Turn2Road  | phase 1.000  | time:  0.031
0163 > 2 Turn2Road  | phase 1.000  | time:  0.069
0164 > 2 Turn2Road  | phase 1.000  | time:  0.068
0165 > 2 Turn2Road  | phase 1.000  | time:  0.066
0166 > 2 Turn2Road  | phase 1.000  | time:  0.059
0167 > 2 Turn2Road  | phase 1.000  | time:  0.085
0168 > 2 Turn2Road  | phase 1.000  | time:  0.056
0169 > 2 Turn2Road  | phase 1.000  | time:  0.053
0170 > 2 Turn2Road  | phase 1.000  | line_not_shown   | time:  0.040
0171 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.047
0172 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.049
0173 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.051
0174 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.048
0175 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.058
0176 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.055
0177 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.058
0178 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.065
0179 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.042
0180 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.040
0181 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.062
0182 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.056
0183 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.064
0184 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.035
0185 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.061
0186 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.053
0187 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.063
0188 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.053
0189 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.035
0190 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.036
0191 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.030
0192 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.053
0193 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.062
0194 > 2 Turn2Road  | phase 2.000  | line_not_shown   | line_on_angle 7.116  | time:  0.046
0195 > 2 Turn2Road  | phase 2.000  | line_not_shown   | line_on_angle 4.850  | time:  0.061
>>> -------   -------
>>> Capsule Passed: dict_keys(['dist_from_cross'])
>>> -------   -------
0196 > 3 Stanley2Green  | phase  1.000  | offset -6.365  | angle 4.850  | z speed  -0.44057283882438725  | true green? 224.000  | true green at [0, 120]  | true green from line 10.290  | time:  0.032
0197 > 3 Stanley2Green  | phase  1.000  | offset -8.086  | angle 4.367  | z speed  -0.4496927347604661  | true green? 133.000  | true green at [90, 110]  | true green from line 11.748  | time:  0.073
0198 > 3 Stanley2Green  | phase  1.000  | offset -8.278  | angle 3.572  | z speed  -0.4061712293004597  | true green? 180.000  | true green at [70, 110]  | true green from line 8.877  | time:  0.066
0199 > 3 Stanley2Green  | phase  1.000  | offset -6.650  | angle 3.191  | z speed  -0.3474762842344992  | true green? 170.000  | true green at [80, 100]  | true green from line 14.481  | time:  0.069
0200 > 3 Stanley2Green  | phase  1.000  | offset -9.999  | angle 2.152  | z speed  -0.35739841598858335  | true green? 216.000  | true green at [100, 100]  | true green from line 11.271  | time:  0.069
0201 > 3 Stanley2Green  | phase  2.000  | offset -8.072  | angle 1.701  | Dist ratio  0.100  | time:  0.066
0202 > 3 Stanley2Green  | phase  2.000  | offset -9.466  | angle 0.764  | Dist ratio  -0.033  | time:  0.067
>>> -------   -------
>>> Capsule Passed: dict_keys(['dist_from_cross'])
>>> -------   -------
0203 > 4 Turn2Void  | phase 0.000  | time:  0.100
0204 > 4 Turn2Void  | phase 1.000  | angle -6.340  | time 1.784  | time:  0.076
0205 > 4 Turn2Void  | phase 3.000  | time:  0.040
0206 > 4 Turn2Void  | phase 3.000  | time:  0.051
0207 > 4 Turn2Void  | phase 3.000  | time:  0.035
0208 > 4 Turn2Void  | phase 3.000  | time:  0.055
0209 > 4 Turn2Void  | phase 3.000  | time:  0.033
0210 > 4 Turn2Void  | phase 3.000  | time:  0.035
0211 > 4 Turn2Void  | phase 3.000  | time:  0.034
0212 > 4 Turn2Void  | phase 3.000  | time:  0.034
0213 > 4 Turn2Void  | phase 3.000  | time:  0.041
0214 > 4 Turn2Void  | phase 3.000  | time:  0.060
0215 > 4 Turn2Void  | phase 3.000  | time:  0.062
0216 > 4 Turn2Void  | phase 3.000  | time:  0.109
0217 > 4 Turn2Void  | phase 3.000  | time:  0.033
0218 > 4 Turn2Void  | phase 3.000  | time:  0.037
0219 > 4 Turn2Void  | phase 3.000  | time:  0.044
0220 > 4 Turn2Void  | phase 3.000  | time:  0.045
0221 > 4 Turn2Void  | phase 3.000  | time:  0.039
>>> -------   -------
>>> Capsule Passed: dict_keys(['dist_from_cross'])
>>> -------   -------
0222 > 10 Event  | mode  5.000  | count:  {'enem': 1}  | time:  0.244
0223 > 10 Event  | mode  4.000  | count:  {'enem': 1}  | time:  0.205
0224 > 10 Event  | mode  3.000  | count:  {'enem': 1}  | time:  0.196
0225 > 10 Event  | mode  2.000  | count:  {'ally_tank': 1, 'enem': 1}  | time:  0.235
0226 > 10 Event  | mode  1.000  | count:  {'enem': 1, 'ally_tank': 1}  | time:  0.204
0227 > 10 Event  | prediction result:  {'ally': 0, 'enem': 1, 'ally_tank': 0, 'enem_tank': 0}  | time:  0.032
0228 > 10 Event  | time:  0.035
0229 > 10 Event  | time:  0.061
0230 > 10 Event  | time:  0.058
>>> -------   -------
>>> Capsule Passed: dict_keys(['dist_from_cross', 'event_10_frame_list'])
>>> -------   -------
0231 > 11 Turn2Road  | phase 0.000  | time:  0.061
0232 > 11 Turn2Road  | phase 1.000  | time:  0.063
0233 > 11 Turn2Road  | phase 1.000  | time:  0.070
0234 > 11 Turn2Road  | phase 1.000  | time:  0.069
0235 > 11 Turn2Road  | phase 1.000  | time:  0.062
0236 > 11 Turn2Road  | phase 1.000  | time:  0.075
0237 > 11 Turn2Road  | phase 1.000  | time:  0.071
0238 > 11 Turn2Road  | phase 1.000  | time:  0.057
0239 > 11 Turn2Road  | phase 1.000  | line_not_shown   | line_on_angle -16.172  | time:  0.068
0240 > 11 Turn2Road  | phase 2.000  | line_not_shown   | line_on_angle -10.204  | time:  0.065
0241 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.070
0242 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.033
0243 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.028
0244 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.029
0245 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.047
0246 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.062
0247 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.046
0248 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.051
0249 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.066
0250 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.066
0251 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.063
0252 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.072
0253 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.054
0254 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.064
0255 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.064
0256 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.040
0257 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.050
0258 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.071
0259 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.075
0260 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.060
0261 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.075
0262 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.059
0263 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.047
0264 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.062
0265 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.066
0266 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.061
0267 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.062
0268 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.056
0269 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.058
0270 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.026
0271 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.035
0272 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.027
0273 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.037
0274 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.053
0275 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.055
0276 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.065
0277 > 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.065
