   / -------   -------
  *  Capsule Passed: dict_keys([])
   \ -------   -------
0197 : 3 Stanley2Green  | phase  1.000  | offset -13.296  | angle 3.952  | z speed  -1.246  | true green? 199.000  | true green at [210, 120]  | true green from line 3.356  | time:  0.017
0198 : 3 Stanley2Green  | phase  1.000  | offset -13.084  | angle 3.295  | z speed  -1.138  | true green? 247.000  | true green at [200, 120]  | true green from line 0.378  | time:  0.018
0199 : 3 Stanley2Green  | phase  1.000  | offset -13.841  | angle 2.256  | z speed  -1.015  | true green? 255.000  | true green at [210, 110]  | true green from line 5.272  | time:  0.018
0200 : 3 Stanley2Green  | phase  1.000  | offset -17.497  | angle 1.146  | z speed  -0.996  | true green? 255.000  | true green at [220, 110]  | true green from line 3.099  | time:  0.014
0201 : 3 Stanley2Green  | phase  2.000  | offset -14.962  | angle 0.833  | Dist ratio  -0.225  | time:  0.018
   / -------   -------
  *  Capsule Passed: dict_keys(['dist_from_cross'])
   \ -------   -------
0202 : 4 Turn2Void  | phase 0.000  | time:  0.016
0203 : 4 Turn2Void  | phase 1.000  | angle 180.000  | time 1.500  | time:  0.015
0204 : 4 Turn2Void  | phase 3.000  | time:  0.000
0205 : 4 Turn2Void  | phase 3.000  | time:  0.000
0206 : 4 Turn2Void  | phase 3.000  | time:  0.016
0207 : 4 Turn2Void  | phase 3.000  | time:  0.016
0208 : 4 Turn2Void  | phase 3.000  | time:  0.015
0209 : 4 Turn2Void  | phase 3.000  | time:  0.014
0210 : 4 Turn2Void  | phase 3.000  | time:  0.001
0211 : 4 Turn2Void  | phase 3.000  | time:  0.016
0212 : 4 Turn2Void  | phase 3.000  | time:  0.015
0213 : 4 Turn2Void  | phase 3.000  | time:  0.015
0214 : 4 Turn2Void  | phase 3.000  | time:  0.011
0215 : 4 Turn2Void  | phase 3.000  | time:  0.012
0216 : 4 Turn2Void  | phase 3.000  | time:  0.016
0217 : 4 Turn2Void  | phase 3.000  | time:  0.015
0218 : 4 Turn2Void  | phase 3.000  | time:  0.000
0219 : 4 Turn2Void  | phase 3.000  | time:  0.016
0220 : 4 Turn2Void  | phase 3.000  | time:  0.016
0221 : 4 Turn2Void  | phase 3.000  | time:  0.016
0222 : 4 Turn2Void  | phase 3.000  | time:  0.016
0223 : 4 Turn2Void  | phase 3.000  | time:  0.016
   / -------   -------
  *  Capsule Passed: dict_keys(['dist_from_cross'])
   \ -------   -------
0224 : 10 Event  | mode  5.000  | count:  {'enem': 1}  | time:  0.193
0225 : 10 Event  | mode  4.000  | count:  {'ally_tank': 1, 'enem': 1}  | time:  0.186
0226 : 10 Event  | mode  3.000  | count:  {'enem': 1, 'ally_tank': 1}  | time:  0.191
0227 : 10 Event  | mode  2.000  | count:  {'enem': 1, 'ally_tank': 1}  | time:  0.176
0228 : 10 Event  | mode  1.000  | count:  {'ally_tank': 1, 'enem': 1}  | time:  0.187
0229 : 10 Event  | prediction result:  {'ally': 0, 'enem': 1, 'ally_tank': 1, 'enem_tank': 0}  | time:  0.015
0230 : 10 Event  | time:  0.001
0231 : 10 Event  | time:  0.026
0232 : 10 Event  | time:  0.016
   / -------   -------
  *  Capsule Passed: dict_keys(['dist_from_cross', 'event_10_frame_list'])
   \ -------   -------
0233 : 11 Turn2Road  | phase 0.000  | time:  0.022
0234 : 11 Turn2Road  | phase 1.000  | time:  0.013
0235 : 11 Turn2Road  | phase 1.000  | time:  0.019
0236 : 11 Turn2Road  | phase 1.000  | time:  0.018
0237 : 11 Turn2Road  | phase 1.000  | time:  0.018
0238 : 11 Turn2Road  | phase 1.000  | time:  0.017
0239 : 11 Turn2Road  | phase 1.000  | time:  0.017
0240 : 11 Turn2Road  | phase 1.000  | time:  0.022
0241 : 11 Turn2Road  | phase 1.000  | time:  0.019
0242 : 11 Turn2Road  | phase 1.000  | time:  0.016
0243 : 11 Turn2Road  | phase 1.000  | time:  0.017
0244 : 11 Turn2Road  | phase 1.000  | time:  0.015
0245 : 11 Turn2Road  | phase 1.000  | line_not_shown   | time:  0.015
0246 : 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.016
0247 : 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.015
0248 : 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.015
0249 : 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.017
0250 : 11 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.012
