1_Stanley2Green_  | phase  1  | time:  0.152464151382
1_Stanley2Green_  | phase  1  | time:  0.0115358829498
1_Stanley2Green_  | phase  1  | time:  0.0126061439514
1_Stanley2Green_  | phase  1  | time:  0.0125930309296
1_Stanley2Green_  | phase  1  | time:  0.012088060379
1_Stanley2Green_  | phase  1  | time:  0.0116329193115
1_Stanley2Green_  | phase  1  | time:  0.0117540359497
1_Stanley2Green_  | phase  1  | time:  0.0118927955627
1_Stanley2Green_  | phase  1  | time:  0.0120689868927
1_Stanley2Green_  | phase  1  | time:  0.0114841461182
1_Stanley2Green_  | phase  1  | time:  0.0125231742859
1_Stanley2Green_  | phase  1  | time:  0.0118210315704
1_Stanley2Green_  | phase  1  | time:  0.0115759372711
1_Stanley2Green_  | phase  1  | time:  0.0120460987091
1_Stanley2Green_  | phase  1  | time:  0.0115270614624
1_Stanley2Green_  | phase  1  | time:  0.0111539363861
1_Stanley2Green_  | phase  1  | time:  0.0114579200745
1_Stanley2Green_  | phase  1  | time:  0.0110690593719
1_Stanley2Green_  | phase  1  | time:  0.0113749504089
1_Stanley2Green_  | phase  1  | time:  0.0124619007111
1_Stanley2Green_  | phase  1  | time:  0.012011051178
1_Stanley2Green_  | phase  1  | time:  0.0120258331299
1_Stanley2Green_  | phase  1  | time:  0.0134119987488
1_Stanley2Green_  | phase  1  | time:  0.0122621059418
1_Stanley2Green_  | phase  1  | time:  0.0118880271912
1_Stanley2Green_  | phase  1  | time:  0.0116899013519
1_Stanley2Green_  | phase  1  | time:  0.0115661621094
1_Stanley2Green_  | phase  1  | time:  0.0135381221771
1_Stanley2Green_  | phase  1  | time:  0.0129518508911
1_Stanley2Green_  | phase  1  | time:  0.0139441490173
1_Stanley2Green_  | phase  1  | time:  0.0139741897583
1_Stanley2Green_  | phase  1  | time:  0.0143160820007
1_Stanley2Green_  | phase  1  | time:  0.0152459144592
2_Stanley2Green_  | phase  1  | offset -14.1612373764  | angle -4.84984390178  | z speed  -0.0182401298361  | time:  0.0220119953156
2_Stanley2Green_  | phase  1  | offset -14.2118399186  | angle -4.8843186468  | z speed  -0.0170902906887  | time:  0.022481918335
2_Stanley2Green_  | phase  1  | offset -13.4147450092  | angle -4.8843186468  | z speed  -0.00243440660026  | time:  0.0227789878845
2_Stanley2Green_  | phase  1  | offset -14.5657650402  | angle -5.12554124013  | z speed  -0.00899750764652  | time:  0.0227799415588
2_Stanley2Green_  | phase  1  | offset -13.2154712818  | angle -4.8843186468  | z speed  0.00129129936235  | time:  0.0225188732147
2_Stanley2Green_  | phase  1  | offset -13.2154712818  | angle -4.8843186468  | z speed  0.00129129936235  | time:  0.0227792263031
2_Stanley2Green_  | phase  1  | offset -13.2154712818  | angle -4.8843186468  | z speed  0.00129129936235  | time:  0.0226261615753
2_Stanley2Green_  | phase  1  | offset -14.8154728228  | angle -5.15998694376  | z speed  -0.0113855153357  | time:  0.025829076767
2_Stanley2Green_  | phase  1  | offset -12.955016234  | angle -4.43587936559  | z speed  -0.0207083682114  | time:  0.0286438465118
2_Stanley2Green_  | phase  1  | offset -13.9520207483  | angle -4.43587936559  | z speed  -0.0392629138395  | time:  0.0224850177765
2_Stanley2Green_  | phase  1  | offset -15.2497114035  | angle -4.50490686361  | z speed  -0.0583445484199  | time:  0.0221560001373
2_Stanley2Green_  | phase  1  | offset -15.1515922337  | angle -4.5739212599  | z speed  -0.0524844266779  | time:  0.0221269130707
2_Stanley2Green_  | phase  1  | offset -14.702220668  | angle -4.53941571175  | z speed  -0.0466042044049  | time:  0.0224130153656
2_Stanley2Green_  | phase  1  | offset -13.2015648606  | angle -4.33231398319  | z speed  -0.0315680605505  | time:  0.022469997406
