1_Stanley2Cross_  | time:  1.0732359886169434
1_Stanley2Cross_offset -2.594984976076037 mm / angle -11.209730093642953deg / z speed 0.6415066663052471 CROSS::[]  | time:  0.0035915374755859375
1_Stanley2Cross_offset -1.8802676306669168 mm / angle -10.472824019117624deg / z speed 0.6058301150319512 CROSS::[]  | time:  0.0040035247802734375
1_Stanley2Cross_offset -3.3382608384169368 mm / angle -8.54774515530013deg / z speed 0.4729387045639617 CROSS::[]  | time:  0.0036020278930664062
1_Stanley2Cross_offset -4.848732510089437 mm / angle -6.363058225810563deg / z speed 0.3240039518372573 CROSS::[]  | time:  0.002864360809326172
1_Stanley2Cross_offset -4.28137242865829 mm / angle -3.1567510249372015deg / z speed 0.1383083499243917 CROSS::[]  | time:  0.0029821395874023438
1_Stanley2Cross_offset -6.4871342100616625 mm / angle -0.8680514497455403deg / z speed -0.02480147934723651 CROSS::[]  | time:  0.0029449462890625
1_Stanley2Cross_offset -10.084765863102504 mm / angle 1.4234203950222801deg / z speed -0.2029204892726361 CROSS::[]  | time:  0.004484415054321289
1_Stanley2Cross_offset -10.219357411111298 mm / angle 4.539415711754389deg / z speed -0.3913582092321327 CROSS::[]  | time:  0.0034525394439697266
1_Stanley2Cross_offset -10.030218709035676 mm / angle 7.560522493925075deg / z speed -0.5705466673974592 CROSS::[]  | time:  0.0029735565185546875
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0027637481689453125
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0042400360107421875
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0028052330017089844
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0022656917572021484
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.001909017562866211
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0028371810913085938
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0028617382049560547
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.006190061569213867
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0024688243865966797
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0032262802124023438
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.002117633819580078
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0026769638061523438
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0031414031982421875
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.002427816390991211
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.003607511520385742
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0020835399627685547
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.002153158187866211
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0020372867584228516
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0017092227935791016
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.00202178955078125
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0026705265045166016
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0016660690307617188
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0018520355224609375
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0017325878143310547
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.002153158187866211
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.002390146255493164
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0020294189453125
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0018439292907714844
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0015988349914550781
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0018093585968017578
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0016257762908935547
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0017476081848144531
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0019953250885009766
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0018527507781982422
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0017020702362060547
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0019197463989257812
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0017600059509277344
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0016655921936035156
